R/O Sort descending,Half,Country,Participant,Song,Points,Rank,Year,Format
17,—,Estonia,Koit Toome & Laura,Verona,85.0,14th,2017,second-semi-final
18,—,Israel,IMRIqualified,I Feel Alive,207.0,3rd,2017,second-semi-final
1,—,Israel,IMRI,I Feel Alive,39.0,23rd,2017,grand-final
2,—,Poland,Kasia Moś,Flashlight,64.0,22nd,2017,grand-final
3,—,Belarus,Naviband,Story of My Life,83.0,17th,2017,grand-final
4,—,Austria,Nathan Trent,Running On Air,93.0,16th,2017,grand-final
5,—,Armenia,Artsvik,Fly With Me,79.0,18th,2017,grand-final
6,—,Netherlands,OG3NE,Lights and Shadows,150.0,11th,2017,grand-final
7,—,Moldova,Sunstroke Project,Hey Mamma,374.0,3rd,2017,grand-final
8,—,Hungary,Joci Pápai,Origo,200.0,8th,2017,grand-final
9,—,Italy,Francesco Gabbani,Occidentali's Karma,334.0,6th,2017,grand-final
10,—,Denmark,Anja,Where I Am,77.0,20th,2017,grand-final
11,—,Portugal,Salvador Sobral,Amar Pelos Dois,758.0,1st,2017,grand-final
12,—,Azerbaijan,Dihaj,Skeletons,120.0,14th,2017,grand-final
13,—,Croatia,Jacques Houdek,My Friend,128.0,13th,2017,grand-final
14,—,Australia,Isaiah,Don't Come Easy,173.0,9th,2017,grand-final
15,—,Greece,Demy,This is Love,77.0,19th,2017,grand-final
16,—,Spain,Manel Navarro,Do It For Your Lover,5.0,26th,2017,grand-final
17,—,Norway,JOWST,Grab The Moment,158.0,10th,2017,grand-final
18,—,United Kingdom,Lucie Jones,Never Give Up On You,111.0,15th,2017,grand-final
19,—,Cyprus,Hovig,Gravity,68.0,21st,2017,grand-final
20,—,Romania,Ilinca ft. Alex Florea,Yodel It!,282.0,7th,2017,grand-final
21,—,Germany,Levina,Perfect Life,6.0,25th,2017,grand-final
22,—,Ukraine,O.Torvald,Time,36.0,24th,2017,grand-final
23,—,Belgium,Blanche,City Lights,363.0,4th,2017,grand-final
24,—,Sweden,Robin Bengtsson,I Can't Go On,344.0,5th,2017,grand-final
25,—,Bulgaria,Kristian Kostov,Beautiful Mess,615.0,2nd,2017,grand-final
26,—,France,Alma,Requiem,135.0,12th,2017,grand-final
1,—,Azerbaijan,Aisel,X My Heart,94.0,11th,2018,first-semi-final
2,—,Iceland,Ari Ólafsson,Our Choice,15.0,19th,2018,first-semi-final
3,—,Albania,Eugent Bushpepaqualified,Mall,162.0,8th,2018,first-semi-final
4,—,Belgium,Sennek,A Matter Of Time,91.0,12th,2018,first-semi-final
5,—,Czech Republic,Mikolas Josefqualified,Lie To Me,232.0,3rd,2018,first-semi-final
6,—,Lithuania,Ieva Zasimauskaitėqualified,When We're Old,119.0,9th,2018,first-semi-final
7,—,Israel,Nettaqualified,TOY,283.0,1st,2018,first-semi-final
8,—,Belarus,ALEKSEEV,FOREVER,65.0,16th,2018,first-semi-final
9,—,Estonia,Elina Nechayevaqualified,La Forza,201.0,5th,2018,first-semi-final
10,—,Bulgaria,EQUINOXqualified,Bones,177.0,7th,2018,first-semi-final
11,—,North Macedonia,Eye Cue,Lost And Found,24.0,18th,2018,first-semi-final
12,—,Croatia,Franka,Crazy,63.0,17th,2018,first-semi-final
13,—,Austria,Cesár Sampsonqualified,Nobody But You,231.0,4th,2018,first-semi-final
14,—,Greece,Yianna Terzi,Oniro Mou,81.0,14th,2018,first-semi-final
15,—,Finland,Saara Aaltoqualified,Monsters,108.0,10th,2018,first-semi-final
16,—,Armenia,Sevak Khanagyan,Qami,79.0,15th,2018,first-semi-final
17,—,Switzerland,ZiBBZ,Stones,86.0,13th,2018,first-semi-final
18,—,Ireland,Ryan O'Shaughnessyqualified,Together,179.0,6th,2018,first-semi-final
19,—,Cyprus,Eleni Foureiraqualified,Fuego,262.0,2nd,2018,first-semi-final
1,—,Norway,Alexander Rybakqualified,That's How You Write A Song,266.0,1st,2018,second-semi-final
2,—,Romania,The Humans,Goodbye,107.0,11th,2018,second-semi-final
3,—,Serbia,Sanja Ilić & Balkanikaqualified,Nova Deca,117.0,9th,2018,second-semi-final
4,—,San Marino,Jessika featuring Jenifer Brening,Who We Are,28.0,17th,2018,second-semi-final
5,—,Denmark,Rasmussenqualified,Higher Ground,204.0,5th,2018,second-semi-final
6,—,Russia,Julia Samoylova,I Won't Break,65.0,15th,2018,second-semi-final
7,—,Moldova,DoReDoSqualified,My Lucky Day,235.0,3rd,2018,second-semi-final
8,—,Netherlands,Waylonqualified,Outlaw In 'Em,174.0,7th,2018,second-semi-final
9,—,Australia,Jessica Mauboyqualified,We Got Love,212.0,4th,2018,second-semi-final
10,—,Georgia,Ethno-Jazz Band Iriao,For You,24.0,18th,2018,second-semi-final
11,—,Poland,Gromee feat. Lukas Meijer,Light Me Up,81.0,14th,2018,second-semi-final
12,—,Malta,Christabelle,Taboo,101.0,13th,2018,second-semi-final
13,—,Hungary,AWSqualified,Viszlát Nyár,111.0,10th,2018,second-semi-final
14,—,Latvia,Laura Rizzotto,Funny Girl,106.0,12th,2018,second-semi-final
15,—,Sweden,Benjamin Ingrossoqualified,Dance You Off,254.0,2nd,2018,second-semi-final
16,—,Montenegro,Vanja Radovanović,Inje,40.0,16th,2018,second-semi-final
17,—,Slovenia,Lea Sirkqualified,"Hvala, ne!",132.0,8th,2018,second-semi-final
18,—,Ukraine,MELOVINqualified,Under The Ladder,179.0,6th,2018,second-semi-final
1,—,Ukraine,MELOVIN,Under The Ladder,130.0,17th,2018,grand-final
2,—,Spain,Amaia y Alfred,Tu Canción,61.0,23rd,2018,grand-final
3,—,Slovenia,Lea Sirk,"Hvala, ne!",64.0,22nd,2018,grand-final
4,—,Lithuania,Ieva Zasimauskaitė,When We're Old,181.0,12th,2018,grand-final
5,—,Austria,Cesár Sampson,Nobody But You,342.0,3rd,2018,grand-final
6,—,Estonia,Elina Nechayeva,La Forza,245.0,8th,2018,grand-final
7,—,Norway,Alexander Rybak,That's How You Write A Song,144.0,15th,2018,grand-final
8,—,Portugal,Cláudia Pascoal,O Jardim,39.0,26th,2018,grand-final
9,—,United Kingdom,SuRie,Storm,48.0,24th,2018,grand-final
10,—,Serbia,Sanja Ilić & Balkanika,Nova Deca,113.0,19th,2018,grand-final
11,—,Germany,Michael Schulte,You Let Me Walk Alone,340.0,4th,2018,grand-final
12,—,Albania,Eugent Bushpepa,Mall,184.0,11th,2018,grand-final
13,—,France,Madame Monsieur,Mercy,173.0,13th,2018,grand-final
14,—,Czech Republic,Mikolas Josef,Lie To Me,281.0,6th,2018,grand-final
15,—,Denmark,Rasmussen,Higher Ground,226.0,9th,2018,grand-final
16,—,Australia,Jessica Mauboy,We Got Love,99.0,20th,2018,grand-final
17,—,Finland,Saara Aalto,Monsters,46.0,25th,2018,grand-final
18,—,Bulgaria,EQUINOX,Bones,166.0,14th,2018,grand-final
19,—,Moldova,DoReDoS,My Lucky Day,209.0,10th,2018,grand-final
20,—,Sweden,Benjamin Ingrosso,Dance You Off,274.0,7th,2018,grand-final
21,—,Hungary,AWS,Viszlát Nyár,93.0,21st,2018,grand-final
22,—,Israel,Netta,TOY,529.0,1st,2018,grand-final
23,—,Netherlands,Waylon,Outlaw In 'Em,121.0,18th,2018,grand-final
24,—,Ireland,Ryan O'Shaughnessy,Together,136.0,16th,2018,grand-final
25,—,Cyprus,Eleni Foureira,Fuego,436.0,2nd,2018,grand-final
26,—,Italy,Ermal Meta e Fabrizio Moro,Non Mi Avete Fatto Niente,308.0,5th,2018,grand-final
1,—,Cyprus,Tamtaqualified,Replay,149.0,9th,2019,first-semi-final
2,—,Montenegro,D mol,Heaven,46.0,16th,2019,first-semi-final
3,—,Finland,Darude feat. Sebastian Rejman,Look Away,23.0,17th,2019,first-semi-final
4,—,Poland,Tulia,Fire of Love (Pali się),120.0,11th,2019,first-semi-final
5,—,Slovenia,Zala Kralj & Gašper Šantlqualified,Sebi,167.0,6th,2019,first-semi-final
6,—,Czech Republic,Lake Malawiqualified,Friend of a Friend,242.0,2nd,2019,first-semi-final
7,—,Hungary,Joci Pápai,Az én apám,97.0,12th,2019,first-semi-final
8,—,Belarus,ZENAqualified,Like It,122.0,10th,2019,first-semi-final
9,—,Serbia,Nevena Božovićqualified,Kruna,156.0,7th,2019,first-semi-final
10,—,Belgium,Eliot,Wake Up,70.0,13th,2019,first-semi-final
11,—,Georgia,Oto Nemsadze,Keep on Going,62.0,14th,2019,first-semi-final
12,—,Australia,Kate Miller-Heidkequalified,Zero Gravity,261.0,1st,2019,first-semi-final
13,—,Iceland,Hatariqualified,Hatrið mun sigra,221.0,3rd,2019,first-semi-final
14,—,Estonia,Victor Cronequalified,Storm,198.0,4th,2019,first-semi-final
15,—,Portugal,Conan Osiris,Telemóveis,51.0,15th,2019,first-semi-final
16,—,Greece,Katerine Duskaqualified,Better Love,185.0,5th,2019,first-semi-final
17,—,San Marino,Serhatqualified,Say Na Na Na,150.0,8th,2019,first-semi-final
1,—,Armenia,Srbuk,Walking Out,49.0,16th,2019,second-semi-final
2,—,Ireland,Sarah McTernan,22,16.0,18th,2019,second-semi-final
3,—,Moldova,Anna Odobescu,Stay,85.0,12th,2019,second-semi-final
4,—,Switzerland,Luca Hänniqualified,She Got Me,232.0,4th,2019,second-semi-final
5,—,Latvia,Carousel,That Night,50.0,15th,2019,second-semi-final
6,—,Romania,Ester Peony,On a Sunday,71.0,13th,2019,second-semi-final
7,—,Denmark,Leonoraqualified,Love Is Forever,94.0,10th,2019,second-semi-final
8,—,Sweden,John Lundvikqualified,Too Late For Love,238.0,3rd,2019,second-semi-final
9,—,Austria,PÆNDA,Limits,21.0,17th,2019,second-semi-final
10,—,Croatia,Roko,The Dream,64.0,14th,2019,second-semi-final
11,—,Malta,Michelaqualified,Chameleon,157.0,8th,2019,second-semi-final
12,—,Lithuania,Jurij Veklenko,Run With The Lions,93.0,11th,2019,second-semi-final
13,—,Russia,Sergey Lazarevqualified,Scream,217.0,6th,2019,second-semi-final
14,—,Albania,Jonida Maliqiqualified,Ktheju tokës,96.0,9th,2019,second-semi-final
15,—,Norway,KEiiNOqualified,Spirit in the Sky,210.0,7th,2019,second-semi-final
16,—,Netherlands,Duncan Laurencequalified,Arcade,280.0,1st,2019,second-semi-final
17,—,North Macedonia,Tamara Todevskaqualified,Proud,239.0,2nd,2019,second-semi-final
18,—,Azerbaijan,Chingizqualified,Truth,224.0,5th,2019,second-semi-final
1,—,Malta,Michela,Chameleon,107.0,14th,2019,grand-final
2,—,Albania,Jonida Maliqi,Ktheju tokës,90.0,17th,2019,grand-final
3,—,Czech Republic,Lake Malawi,Friend of a Friend,157.0,11th,2019,grand-final
4,—,Germany,S!sters,Sister,24.0,25th,2019,grand-final
5,—,Russia,Sergey Lazarev,Scream,370.0,3rd,2019,grand-final
6,—,Denmark,Leonora,Love Is Forever,120.0,12th,2019,grand-final
7,—,San Marino,Serhat,Say Na Na Na,77.0,19th,2019,grand-final
8,—,North Macedonia,Tamara Todevska,Proud,305.0,7th,2019,grand-final
9,—,Sweden,John Lundvik,Too Late For Love,334.0,5th,2019,grand-final
10,—,Slovenia,Zala Kralj & Gašper Šantl,Sebi,105.0,15th,2019,grand-final
11,—,Cyprus,Tamta,Replay,109.0,13th,2019,grand-final
12,—,Netherlands,Duncan Laurence,Arcade,498.0,1st,2019,grand-final
13,—,Greece,Katerine Duska,Better Love,74.0,21st,2019,grand-final
14,—,Israel,Kobi Marimi,Home,35.0,23rd,2019,grand-final
15,—,Norway,KEiiNO,Spirit in the Sky,331.0,6th,2019,grand-final
16,—,United Kingdom,Michael Rice,Bigger Than Us,11.0,26th,2019,grand-final
17,—,Iceland,Hatari,Hatrið mun sigra,232.0,10th,2019,grand-final
18,—,Estonia,Victor Crone,Storm,76.0,20th,2019,grand-final
19,—,Belarus,ZENA,Like It,31.0,24th,2019,grand-final
20,—,Azerbaijan,Chingiz,Truth,302.0,8th,2019,grand-final
21,—,France,Bilal Hassani,Roi,105.0,16th,2019,grand-final
22,—,Italy,Mahmood,Soldi,472.0,2nd,2019,grand-final
23,—,Serbia,Nevena Božović,Kruna,89.0,18th,2019,grand-final
24,—,Switzerland,Luca Hänni,She Got Me,364.0,4th,2019,grand-final
25,—,Australia,Kate Miller-Heidke,Zero Gravity,284.0,9th,2019,grand-final
26,—,Spain,Miki,La Venda,54.0,22nd,2019,grand-final
1,—,Lithuania,The Roopqualified,Discoteque,203.0,4th,2021,first-semi-final
2,—,Slovenia,Ana Soklič,Amen,44.0,13th,2021,first-semi-final
3,—,Russia,Manizhaqualified,Russian Woman,225.0,3rd,2021,first-semi-final
4,—,Sweden,Tussequalified,Voices,142.0,7th,2021,first-semi-final
5,—,Australia,Montaigne,Technicolour,28.0,14th,2021,first-semi-final
6,—,North Macedonia,Vasil,Here I Stand,23.0,15th,2021,first-semi-final
7,—,Ireland,Lesley Roy,MAPS,20.0,16th,2021,first-semi-final
8,—,Cyprus,Elena Tsagrinouqualified,El Diablo,170.0,6th,2021,first-semi-final
9,—,Norway,TIXqualified,Fallen Angel,115.0,10th,2021,first-semi-final
10,—,Croatia,Albina,Tick-Tock,110.0,11th,2021,first-semi-final
11,—,Belgium,Hooverphonicqualified,The Wrong Place,117.0,9th,2021,first-semi-final
12,—,Israel,Eden Alenequalified,Set Me Free,192.0,5th,2021,first-semi-final
13,—,Romania,ROXEN,Amnesia,85.0,12th,2021,first-semi-final
14,—,Azerbaijan,Efendiqualified,Mata Hari,138.0,8th,2021,first-semi-final
15,—,Ukraine,Go_Aqualified,Shum,267.0,2nd,2021,first-semi-final
16,—,Malta,Destinyqualified,Je Me Casse,325.0,1st,2021,first-semi-final
1,—,San Marino,Senhitqualified,Adrenalina,118.0,9th,2021,second-semi-final
2,—,Estonia,Uku Suviste,The Lucky One,58.0,13th,2021,second-semi-final
3,—,Czech Republic,Benny Cristo,omaga,23.0,15th,2021,second-semi-final
4,—,Greece,Stefaniaqualified,Last Dance,184.0,6th,2021,second-semi-final
5,—,Austria,Vincent Bueno,Amen,66.0,12th,2021,second-semi-final
6,—,Poland,RAFAŁ,The Ride,35.0,14th,2021,second-semi-final
7,—,Moldova,Natalia Gordienkoqualified,SUGAR,179.0,7th,2021,second-semi-final
8,—,Iceland,Daði og Gagnamagniðqualified,10 Years,288.0,2nd,2021,second-semi-final
9,—,Serbia,Hurricanequalified,Loco Loco,124.0,8th,2021,second-semi-final
10,—,Georgia,Tornike Kipiani,You,16.0,16th,2021,second-semi-final
11,—,Albania,Anxhela Peristeriqualified,Karma,112.0,10th,2021,second-semi-final
12,—,Portugal,The Black Mambaqualified,Love Is On My Side,239.0,4th,2021,second-semi-final
13,—,Bulgaria,VICTORIAqualified,Growing Up Is Getting Old,250.0,3rd,2021,second-semi-final
14,—,Finland,Blind Channelqualified,Dark Side,234.0,5th,2021,second-semi-final
15,—,Latvia,Samanta Tīna,The Moon Is Rising,14.0,17th,2021,second-semi-final
16,—,Switzerland,Gjon's Tearsqualified,Tout l'Univers,291.0,1st,2021,second-semi-final
17,—,Denmark,Fyr Og Flamme,Øve Os På Hinanden,89.0,11th,2021,second-semi-final
1,1st half,Cyprus,Elena Tsagrinou,El Diablo,94.0,16th,2021,grand-final
2,1st half,Albania,Anxhela Peristeri,Karma,57.0,21st,2021,grand-final
3,1st half,Israel,Eden Alene,Set Me Free,93.0,17th,2021,grand-final
4,1st half,Belgium,Hooverphonic,The Wrong Place,74.0,19th,2021,grand-final
5,1st half,Russia,Manizha,Russian Woman,204.0,9th,2021,grand-final
6,1st half,Malta,Destiny,Je Me Casse,255.0,7th,2021,grand-final
7,1st half,Portugal,The Black Mamba,Love Is On My Side,153.0,12th,2021,grand-final
8,1st half,Serbia,Hurricane,Loco Loco,102.0,15th,2021,grand-final
9,1st half,United Kingdom,James Newman,Embers,0.0,26th,2021,grand-final
10,1st half,Greece,Stefania,Last Dance,170.0,10th,2021,grand-final
11,1st half,Switzerland,Gjon's Tears,Tout l'Univers,432.0,3rd,2021,grand-final
12,1st half,Iceland,Daði og Gagnamagnið,10 Years,378.0,4th,2021,grand-final
13,1st half,Spain,Blas Cantó,Voy A Quedarme,6.0,24th,2021,grand-final
14,2nd half,Moldova,Natalia Gordienko,SUGAR,115.0,13th,2021,grand-final
15,2nd half,Germany,Jendrik,I Don't Feel Hate,3.0,25th,2021,grand-final
16,2nd half,Finland,Blind Channel,Dark Side,301.0,6th,2021,grand-final
17,2nd half,Bulgaria,VICTORIA,Growing Up Is Getting Old,170.0,11th,2021,grand-final
18,2nd half,Lithuania,The Roop,Discoteque,220.0,8th,2021,grand-final
19,2nd half,Ukraine,Go_A,Shum,364.0,5th,2021,grand-final
20,2nd half,France,Barbara Pravi,Voilà,499.0,2nd,2021,grand-final
21,2nd half,Azerbaijan,Efendi,Mata Hari,65.0,20th,2021,grand-final
22,2nd half,Norway,TIX,Fallen Angel,75.0,18th,2021,grand-final
23,2nd half,Netherlands,Jeangu Macrooy,Birth Of A New Age,11.0,23rd,2021,grand-final
24,2nd half,Italy,Måneskin,Zitti E Buoni,524.0,1st,2021,grand-final
25,2nd half,Sweden,Tusse,Voices,109.0,14th,2021,grand-final
26,2nd half,San Marino,Senhit,Adrenalina,50.0,22nd,2021,grand-final
1,1st half,Albania,Ronela Hajati,Sekret,58.0,12th,2022,first-semi-final
2,1st half,Latvia,Citi Zēni,Eat Your Salad,55.0,14th,2022,first-semi-final
3,1st half,Lithuania,Monika Liuqualified,Sentimentai,159.0,7th,2022,first-semi-final
4,1st half,Switzerland,Marius Bearqualified,Boys Do Cry,118.0,9th,2022,first-semi-final
5,1st half,Slovenia,LPS,Disko,15.0,17th,2022,first-semi-final
6,1st half,Ukraine,Kalush Orchestraqualified,Stefania,337.0,1st,2022,first-semi-final
7,1st half,Bulgaria,Intelligent Music Project,Intention,29.0,16th,2022,first-semi-final
8,1st half,Netherlands,S10qualified,De Diepte,221.0,2nd,2022,first-semi-final
9,1st half,Moldova,Zdob şi Zdub & Advahov Brothersqualified,Trenulețul,154.0,8th,2022,first-semi-final
10,2nd half,Portugal,MAROqualified,"Saudade, Saudade",208.0,4th,2022,first-semi-final
11,2nd half,Croatia,Mia Dimšić,Guilty Pleasure,75.0,11th,2022,first-semi-final
12,2nd half,Denmark,REDDI,The Show,55.0,13th,2022,first-semi-final
13,2nd half,Austria,LUM!X feat. Pia Maria,Halo,42.0,15th,2022,first-semi-final
14,2nd half,Iceland,Systurqualified,Með Hækkandi Sól,103.0,10th,2022,first-semi-final
15,2nd half,Greece,Amanda Georgiadi Tenfjordqualified,Die Together,211.0,3rd,2022,first-semi-final
16,2nd half,Norway,Subwoolferqualified,Give That Wolf A Banana,177.0,6th,2022,first-semi-final
17,2nd half,Armenia,Rosa Linnqualified,Snap,187.0,5th,2022,first-semi-final
1,1st half,Finland,The Rasmusqualified,Jezebel,162.0,7th,2022,second-semi-final
2,1st half,Israel,Michael Ben David,I.M,61.0,13th,2022,second-semi-final
3,1st half,Serbia,Konstraktaqualified,In Corpore Sano,237.0,3rd,2022,second-semi-final
4,1st half,Azerbaijan,Nadir Rustamliqualified,Fade To Black,96.0,10th,2022,second-semi-final
5,1st half,Georgia,Circus Mircus,Lock Me In,22.0,18th,2022,second-semi-final
6,1st half,Malta,Emma Muscat,I Am What I Am,47.0,16th,2022,second-semi-final
7,1st half,San Marino,Achille Lauro,Stripper,50.0,14th,2022,second-semi-final
8,1st half,Australia,Sheldon Rileyqualified,Not The Same,243.0,2nd,2022,second-semi-final
9,1st half,Cyprus,Andromache,Ela,63.0,12th,2022,second-semi-final
10,2nd half,Ireland,Brooke,That's Rich,47.0,15th,2022,second-semi-final
11,2nd half,North Macedonia,Andrea,Circles,76.0,11th,2022,second-semi-final
12,2nd half,Estonia,Stefanqualified,Hope,209.0,5th,2022,second-semi-final
13,2nd half,Romania,WRSqualified,Llámame,118.0,9th,2022,second-semi-final
14,2nd half,Poland,Ochmanqualified,River,198.0,6th,2022,second-semi-final
15,2nd half,Montenegro,Vladana,Breathe,33.0,17th,2022,second-semi-final
16,2nd half,Belgium,Jérémie Makiesequalified,Miss You,151.0,8th,2022,second-semi-final
17,2nd half,Sweden,Cornelia Jakobsqualified,Hold Me Closer,396.0,1st,2022,second-semi-final
18,2nd half,Czech Republic,We Are Domiqualified,Lights Off,227.0,4th,2022,second-semi-final
1,—,Czech Republic,We Are Domi,Lights Off,38.0,22nd,2022,grand-final
2,—,Romania,WRS,Llámame,65.0,18th,2022,grand-final
3,1st half,Portugal,MARO,"Saudade, Saudade",207.0,9th,2022,grand-final
4,—,Finland,The Rasmus,Jezebel,38.0,21st,2022,grand-final
5,1st half,Switzerland,Marius Bear,Boys Do Cry,78.0,17th,2022,grand-final
6,—,France,Alvan & Ahez,Fulenn,17.0,24th,2022,grand-final
7,1st half,Norway,Subwoolfer,Give That Wolf A Banana,182.0,10th,2022,grand-final
8,1st half,Armenia,Rosa Linn,Snap,61.0,20th,2022,grand-final
9,—,Italy,Mahmood & BLANCO,Brividi,268.0,6th,2022,grand-final
10,—,Spain,Chanel,SloMo,459.0,3rd,2022,grand-final
11,1st half,Netherlands,S10,De Diepte,171.0,11th,2022,grand-final
12,1st half,Ukraine,Kalush Orchestra,Stefania,631.0,1st,2022,grand-final
13,—,Germany,Malik Harris,Rockstars,6.0,25th,2022,grand-final
14,2nd half,Lithuania,Monika Liu,Sentimentai,128.0,14th,2022,grand-final
15,—,Azerbaijan,Nadir Rustamli,Fade To Black,106.0,16th,2022,grand-final
16,—,Belgium,Jérémie Makiese,Miss You,64.0,19th,2022,grand-final
17,2nd half,Greece,Amanda Georgiadi Tenfjord,Die Together,215.0,8th,2022,grand-final
18,2nd half,Iceland,Systur,Með Hækkandi Sól,20.0,23rd,2022,grand-final
19,2nd half,Moldova,Zdob şi Zdub & Advahov Brothers,Trenulețul,253.0,7th,2022,grand-final
20,—,Sweden,Cornelia Jakobs,Hold Me Closer,438.0,4th,2022,grand-final
21,—,Australia,Sheldon Riley,Not The Same,125.0,15th,2022,grand-final
22,—,United Kingdom,Sam Ryder,SPACE MAN,466.0,2nd,2022,grand-final
23,—,Poland,Ochman,River,151.0,12th,2022,grand-final
24,2nd half,Serbia,Konstrakta,In Corpore Sano,312.0,5th,2022,grand-final
25,2nd half,Estonia,Stefan,Hope,141.0,13th,2022,grand-final
